date,city,weather_condition,temperature,humidity
2024-01-06,Lucknow,Clear,40,53
2024-01-06,Patna,Clear,20,66
2024-01-06,Indore,Clear,30,53
2024-01-07,Bangalore,Fog,24,49
2024-01-07,Hyderabad,Clear,31,60
2024-01-07,Chennai,Fog,32,82
2024-01-07,Mumbai,Storm,34,82
2024-01-07,Pune,Rain,40,49
2024-01-07,Delhi,Rain,32,62
2024-01-07,Jaipur,Rain,27,71
2024-01-07,Lucknow,Fog,28,67
2024-01-07,Patna,Clear,28,40
2024-01-07,Indore,Fog,34,50
2024-01-08,Bangalore,Clear,21,87
2024-01-08,Hyderabad,Fog,36,58
2024-01-08,Chennai,Rain,33,47
2024-01-08,Mumbai,Storm,24,58
2024-01-08,Pune,Storm,25,67
2024-01-08,Delhi,Clear,35,90
2024-01-08,Jaipur,Clear,38,69
2024-01-08,Lucknow,Storm,29,81
2024-01-08,Patna,Rain,34,52
2024-01-08,Indore,Storm,35,64
2024-01-09,Bangalore,Storm,25,70
2024-01-09,Hyderabad,Rain,34,48
2024-01-09,Chennai,Clear,27,81
2024-01-09,Mumbai,Fog,32,54
2024-01-09,Pune,Rain,23,57
2024-01-09,Delhi,Storm,36,56
2024-01-09,Jaipur,Clear,28,95
2024-01-09,Lucknow,Storm,32,41
2024-01-09,Patna,Clear,38,46
2024-01-09,Indore,Rain,29,56
2024-01-10,Bangalore,Rain,37,94
2024-01-10,Hyderabad,Rain,40,71
2024-01-10,Chennai,Clear,24,41
2024-01-10,Mumbai,Storm,37,66
2024-01-10,Pune,Storm,20,70
2024-01-10,Delhi,Rain,25,46
2024-01-10,Jaipur,Storm,33,56
2024-01-10,Lucknow,Storm,38,52
2024-01-10,Patna,Fog,39,76
2024-01-10,Indore,Storm,23,64
2024-01-11,Bangalore,Fog,39,52
2024-01-11,Hyderabad,Rain,30,42
2024-01-11,Chennai,Storm,31,70
2024-01-11,Mumbai,Rain,37,61
2024-01-11,Pune,Fog,27,67
2024-01-11,Delhi,Clear,22,46
2024-01-11,Jaipur,Rain,27,66
2024-01-11,Lucknow,Clear,26,69
2024-01-11,Patna,Fog,37,87
2024-01-11,Indore,Clear,23,83
2024-01-12,Bangalore,Fog,24,54
2024-01-12,Hyderabad,Rain,26,63
2024-01-12,Chennai,Clear,21,56
2024-01-12,Mumbai,Clear,38,66
2024-01-12,Pune,Clear,28,81
2024-01-12,Delhi,Fog,26,45
2024-01-12,Jaipur,Storm,27,79
2024-01-12,Lucknow,Clear,22,91
2024-01-12,Patna,Storm,39,74
2024-01-12,Indore,Rain,21,70
2024-01-13,Bangalore,Storm,37,50
2024-01-13,Hyderabad,Clear,35,92
2024-01-13,Chennai,Rain,33,61
2024-01-13,Mumbai,Clear,22,72
2024-01-13,Pune,Rain,38,57
2024-01-13,Delhi,Clear,33,84
2024-01-13,Jaipur,Storm,31,88
2024-01-13,Lucknow,Fog,37,84
2024-01-13,Patna,Rain,20,87
2024-01-13,Indore,Clear,40,76
2024-01-14,Bangalore,Clear,28,52
2024-01-14,Hyderabad,Rain,25,54
2024-01-14,Chennai,Clear,25,52
2024-01-14,Mumbai,Rain,26,48
2024-01-14,Pune,Storm,34,43
2024-01-14,Delhi,Fog,27,79
2024-01-14,Jaipur,Rain,21,47
2024-01-14,Lucknow,Rain,31,80
2024-01-14,Patna,Storm,33,49
2024-01-14,Indore,Clear,25,70
2024-01-15,Bangalore,Fog,20,50
2024-01-15,Hyderabad,Storm,21,74
2024-01-15,Chennai,Rain,33,46
2024-01-15,Mumbai,Clear,25,53
2024-01-15,Pune,Clear,24,66
2024-01-15,Delhi,Clear,33,54
2024-01-15,Jaipur,Rain,28,85
2024-01-15,Lucknow,Storm,34,50
2024-01-15,Patna,Rain,34,67
2024-01-15,Indore,Rain,39,93
2024-01-16,Bangalore,Fog,28,60
2024-01-16,Hyderabad,Storm,39,53
2024-01-16,Chennai,Clear,26,65
2024-01-16,Mumbai,Storm,32,89
2024-01-16,Pune,Fog,22,95
2024-01-16,Delhi,Clear,24,43
2024-01-16,Jaipur,Rain,37,94
2024-01-16,Lucknow,Clear,37,70
2024-01-16,Patna,Fog,40,77
2024-01-16,Indore,Rain,21,73
2024-01-17,Bangalore,Rain,37,54
2024-01-17,Hyderabad,Rain,27,43
2024-01-17,Chennai,Clear,27,74
2024-01-17,Mumbai,Clear,30,73
2024-01-17,Pune,Clear,28,56
2024-01-17,Delhi,Storm,37,48
2024-01-17,Jaipur,Rain,21,67
2024-01-17,Lucknow,Fog,26,48
2024-01-17,Patna,Rain,40,45
2024-01-17,Indore,Rain,39,68
2024-01-18,Bangalore,Clear,33,86
2024-01-18,Hyderabad,Clear,30,69
2024-01-18,Chennai,Rain,28,94
2024-01-18,Mumbai,Storm,20,42
2024-01-18,Pune,Clear,20,89
2024-01-18,Delhi,Clear,20,45
2024-01-18,Jaipur,Storm,25,88
2024-01-18,Lucknow,Clear,22,84
2024-01-18,Patna,Rain,35,91
2024-01-18,Indore,Clear,34,90
2024-01-19,Bangalore,Storm,21,90
2024-01-19,Hyderabad,Clear,24,62
2024-01-19,Chennai,Storm,32,83
2024-01-19,Mumbai,Clear,36,81
2024-01-19,Pune,Storm,29,56
2024-01-19,Delhi,Rain,22,74
2024-01-19,Jaipur,Rain,39,82
2024-01-19,Lucknow,Fog,29,71
2024-01-19,Patna,Clear,24,51
2024-01-19,Indore,Storm,36,79
2024-01-20,Bangalore,Clear,30,64
2024-01-20,Hyderabad,Fog,21,72
2024-01-20,Chennai,Fog,34,41
2024-01-20,Mumbai,Clear,39,43
2024-01-20,Pune,Clear,28,55
2024-01-20,Delhi,Fog,31,80
2024-01-20,Jaipur,Storm,22,63
2024-01-20,Lucknow,Storm,36,49
2024-01-20,Patna,Fog,32,76
2024-01-20,Indore,Clear,27,66
2024-01-21,Bangalore,Rain,28,72
2024-01-21,Hyderabad,Rain,30,63
2024-01-21,Chennai,Clear,31,59
2024-01-21,Mumbai,Rain,38,64
2024-01-21,Pune,Clear,37,85
2024-01-21,Delhi,Clear,40,70
2024-01-21,Jaipur,Clear,33,53
2024-01-21,Lucknow,Rain,33,78
2024-01-21,Patna,Fog,39,62
2024-01-21,Indore,Clear,39,89
2024-01-22,Bangalore,Rain,24,44
2024-01-22,Hyderabad,Clear,28,91
2024-01-22,Chennai,Clear,23,95
2024-01-22,Mumbai,Fog,28,93
2024-01-22,Pune,Clear,37,73
2024-01-22,Delhi,Clear,28,80
2024-01-22,Jaipur,Storm,40,51
2024-01-22,Lucknow,Fog,35,55
2024-01-22,Patna,Rain,32,85
2024-01-22,Indore,Rain,36,81
2024-01-23,Bangalore,Clear,32,57
2024-01-23,Hyderabad,Rain,24,83
2024-01-23,Chennai,Clear,24,84
2024-01-23,Mumbai,Fog,39,83
2024-01-23,Pune,Storm,25,73
2024-01-23,Delhi,Storm,33,59
2024-01-23,Jaipur,Rain,20,55
2024-01-23,Lucknow,Fog,24,63
2024-01-23,Patna,Fog,26,46
2024-01-23,Indore,Storm,28,45
2024-01-24,Bangalore,Fog,21,92
2024-01-24,Hyderabad,Fog,29,80
2024-01-24,Chennai,Fog,25,62
2024-01-24,Mumbai,Storm,29,95
2024-01-24,Pune,Clear,25,65
2024-01-24,Delhi,Rain,31,61
2024-01-24,Jaipur,Rain,29,52
2024-01-24,Lucknow,Clear,22,70
2024-01-24,Patna,Fog,29,66
2024-01-24,Indore,Storm,29,72
2024-01-25,Bangalore,Clear,27,86
2024-01-25,Hyderabad,Clear,31,55
2024-01-25,Chennai,Rain,28,61
2024-01-25,Mumbai,Rain,34,79
2024-01-25,Pune,Clear,30,42
2024-01-25,Delhi,Storm,40,43
2024-01-25,Jaipur,Storm,27,53
2024-01-25,Lucknow,Rain,26,88
2024-01-25,Patna,Storm,26,93
2024-01-25,Indore,Storm,38,60
2024-01-26,Bangalore,Clear,32,86
2024-01-26,Hyderabad,Rain,24,91
2024-01-26,Chennai,Clear,22,46
2024-01-26,Mumbai,Fog,36,69
2024-01-26,Pune,Clear,37,43
2024-01-26,Delhi,Rain,27,77
2024-01-26,Jaipur,Clear,40,83
2024-01-26,Lucknow,Rain,35,53
2024-01-26,Patna,Rain,32,81
2024-01-26,Indore,Storm,27,42
2024-01-27,Bangalore,Fog,21,86
2024-01-27,Hyderabad,Clear,22,88
2024-01-27,Chennai,Fog,30,64
2024-01-27,Mumbai,Clear,34,72
2024-01-27,Pune,Fog,37,86
2024-01-27,Delhi,Clear,20,51
2024-01-27,Jaipur,Rain,20,91
2024-01-27,Lucknow,Clear,38,46
2024-01-27,Patna,Storm,33,47
2024-01-27,Indore,Rain,39,73
2024-01-28,Bangalore,Clear,27,84
2024-01-28,Hyderabad,Fog,30,70
2024-01-28,Chennai,Fog,28,86
2024-01-28,Mumbai,Storm,39,47
2024-01-28,Pune,Fog,20,79
2024-01-28,Delhi,Rain,32,63
2024-01-28,Jaipur,Storm,24,43
2024-01-28,Lucknow,Clear,29,78
2024-01-28,Patna,Clear,23,95
2024-01-28,Indore,Storm,23,74
2024-01-29,Bangalore,Storm,27,54
2024-01-29,Hyderabad,Fog,36,70
2024-01-29,Chennai,Storm,20,77
2024-01-29,Mumbai,Rain,33,52
2024-01-29,Pune,Rain,25,53
2024-01-29,Delhi,Rain,22,55
2024-01-29,Jaipur,Fog,28,61
2024-01-29,Lucknow,Storm,33,44
2024-01-29,Patna,Clear,28,42
2024-01-29,Indore,Storm,24,73
2024-01-30,Bangalore,Fog,21,93
2024-01-30,Hyderabad,Storm,40,41
2024-01-30,Chennai,Storm,27,71
2024-01-30,Mumbai,Fog,33,67
2024-01-30,Pune,Clear,36,84
2024-01-30,Delhi,Clear,23,87
2024-01-30,Jaipur,Rain,33,89
2024-01-30,Lucknow,Clear,21,52
2024-01-30,Patna,Clear,36,53
2024-01-30,Indore,Storm,32,65
2024-01-31,Bangalore,Clear,20,64
2024-01-31,Hyderabad,Rain,34,44
2024-01-31,Chennai,Storm,26,46
2024-01-31,Mumbai,Rain,26,56
2024-01-31,Pune,Storm,31,43
2024-01-31,Delhi,Fog,36,75
2024-01-31,Jaipur,Rain,33,76
2024-01-31,Lucknow,Clear,35,80
2024-01-31,Patna,Fog,33,88
2024-01-31,Indore,Rain,39,53
2024-02-01,Bangalore,Storm,29,87
2024-02-01,Hyderabad,Clear,23,55
2024-02-01,Chennai,Storm,37,40
2024-02-01,Mumbai,Fog,26,61
2024-02-01,Pune,Storm,27,70
2024-02-01,Delhi,Rain,33,42
2024-02-01,Jaipur,Rain,27,81
2024-02-01,Lucknow,Storm,39,86
2024-02-01,Patna,Clear,21,46
2024-02-01,Indore,Storm,34,84
2024-02-02,Bangalore,Clear,39,92
2024-02-02,Hyderabad,Clear,36,63
2024-02-02,Chennai,Clear,29,58
2024-02-02,Mumbai,Rain,20,85
2024-02-02,Pune,Fog,28,77
2024-02-02,Delhi,Rain,32,88
2024-02-02,Jaipur,Fog,39,76
2024-02-02,Lucknow,Fog,29,93
2024-02-02,Patna,Fog,22,73
2024-02-02,Indore,Storm,24,74
2024-02-03,Bangalore,Storm,38,64
2024-02-03,Hyderabad,Rain,24,61
2024-02-03,Chennai,Clear,29,41
2024-02-03,Mumbai,Storm,38,79
2024-02-03,Pune,Rain,25,52
2024-02-03,Delhi,Clear,25,93
2024-02-03,Jaipur,Rain,29,89
2024-02-03,Lucknow,Rain,33,65
2024-02-03,Patna,Clear,33,79
2024-02-03,Indore,Clear,37,70
2024-02-04,Bangalore,Rain,32,80
2024-02-04,Hyderabad,Clear,34,88
2024-02-04,Chennai,Fog,20,81
2024-02-04,Mumbai,Fog,25,87
2024-02-04,Pune,Rain,29,75
2024-02-04,Delhi,Rain,36,78
2024-02-04,Jaipur,Rain,30,82
2024-02-04,Lucknow,Storm,40,55
2024-02-04,Patna,Rain,37,88
2024-02-04,Indore,Clear,29,92
2024-02-05,Bangalore,Clear,31,66
2024-02-05,Hyderabad,Clear,24,84
2024-02-05,Chennai,Fog,30,41
2024-02-05,Mumbai,Rain,32,77
2024-02-05,Pune,Storm,37,83
2024-02-05,Delhi,Rain,33,82
2024-02-05,Jaipur,Storm,22,90
2024-02-05,Lucknow,Fog,38,64
2024-02-05,Patna,Storm,33,80
2024-02-05,Indore,Clear,26,40
2024-02-06,Bangalore,Fog,33,46
2024-02-06,Hyderabad,Rain,26,91
2024-02-06,Chennai,Storm,38,61
2024-02-06,Mumbai,Clear,28,93
2024-02-06,Pune,Rain,28,65
2024-02-06,Delhi,Rain,27,77
2024-02-06,Jaipur,Storm,36,57
2024-02-06,Lucknow,Clear,20,93
2024-02-06,Patna,Rain,35,88
2024-02-06,Indore,Rain,20,40
2024-02-07,Bangalore,Fog,39,65
2024-02-07,Hyderabad,Fog,22,43
2024-02-07,Chennai,Clear,32,72
2024-02-07,Mumbai,Rain,22,45
2024-02-07,Pune,Rain,39,61
2024-02-07,Delhi,Clear,21,44
2024-02-07,Jaipur,Fog,36,43
2024-02-07,Lucknow,Storm,22,58
2024-02-07,Patna,Clear,30,43
2024-02-07,Indore,Fog,33,89
2024-02-08,Bangalore,Rain,40,73
2024-02-08,Hyderabad,Rain,38,68
2024-02-08,Chennai,Fog,40,49
2024-02-08,Mumbai,Clear,31,54
2024-02-08,Pune,Storm,28,41
2024-02-08,Delhi,Fog,34,68
2024-02-08,Jaipur,Storm,32,50
2024-02-08,Lucknow,Clear,34,48
2024-02-08,Patna,Fog,33,82
2024-02-08,Indore,Rain,39,48
2024-02-09,Bangalore,Storm,20,75
2024-02-09,Hyderabad,Clear,35,86
2024-02-09,Chennai,Fog,32,43
2024-02-09,Mumbai,Rain,38,84
2024-02-09,Pune,Clear,28,41
2024-02-09,Delhi,Fog,36,83
2024-02-09,Jaipur,Storm,22,52
2024-02-09,Lucknow,Rain,26,69
2024-02-09,Patna,Rain,22,48
2024-02-09,Indore,Storm,31,85
2024-02-10,Bangalore,Rain,26,62
2024-02-10,Hyderabad,Fog,23,69
2024-02-10,Chennai,Clear,34,40
2024-02-10,Mumbai,Rain,25,83
2024-02-10,Pune,Clear,22,78
2024-02-10,Delhi,Rain,20,64
2024-02-10,Jaipur,Clear,27,88
2024-02-10,Lucknow,Fog,27,92
2024-02-10,Patna,Storm,24,69
2024-02-10,Indore,Fog,37,76
2024-02-11,Bangalore,Storm,32,47
2024-02-11,Hyderabad,Rain,26,68
2024-02-11,Chennai,Clear,37,58
2024-02-11,Mumbai,Storm,28,77
2024-02-11,Pune,Clear,25,95
2024-02-11,Delhi,Storm,21,49
2024-02-11,Jaipur,Fog,29,72
2024-02-11,Lucknow,Clear,23,67
2024-02-11,Patna,Storm,29,43
2024-02-11,Indore,Rain,34,53
2024-02-12,Bangalore,Storm,23,65
2024-02-12,Hyderabad,Fog,37,46
2024-02-12,Chennai,Rain,34,87
2024-02-12,Mumbai,Fog,36,50
2024-02-12,Pune,Rain,22,40
2024-02-12,Delhi,Rain,40,45
2024-02-12,Jaipur,Fog,38,74
2024-02-12,Lucknow,Rain,23,80
2024-02-12,Patna,Rain,28,73
2024-02-12,Indore,Fog,25,76
2024-02-13,Bangalore,Storm,35,90
2024-02-13,Hyderabad,Fog,27,88
2024-02-13,Chennai,Fog,27,95
2024-02-13,Mumbai,Rain,23,94
2024-02-13,Pune,Rain,37,83
2024-02-13,Delhi,Storm,33,41
2024-02-13,Jaipur,Storm,27,76
2024-02-13,Lucknow,Fog,20,71
2024-02-13,Patna,Fog,32,83
2024-02-13,Indore,Clear,34,70
2024-02-14,Bangalore,Clear,32,95
2024-02-14,Hyderabad,Fog,27,65
2024-02-14,Chennai,Rain,20,63
2024-02-14,Mumbai,Clear,32,74
2024-02-14,Pune,Rain,22,82
2024-02-14,Delhi,Rain,25,54
2024-02-14,Jaipur,Storm,30,83
2024-02-14,Lucknow,Rain,22,65
2024-02-14,Patna,Storm,20,89
2024-02-14,Indore,Storm,37,68
2024-02-15,Bangalore,Clear,28,65
2024-02-15,Hyderabad,Rain,22,73
2024-02-15,Chennai,Rain,22,76
2024-02-15,Mumbai,Rain,30,76
2024-02-15,Pune,Fog,34,88
2024-02-15,Delhi,Clear,37,77
2024-02-15,Jaipur,Storm,27,67
2024-02-15,Lucknow,Storm,37,95
2024-02-15,Patna,Clear,25,48
2024-02-15,Indore,Clear,30,91
2024-02-16,Bangalore,Clear,39,84
2024-02-16,Hyderabad,Rain,37,67
2024-02-16,Chennai,Storm,36,58
2024-02-16,Mumbai,Rain,29,78
2024-02-16,Pune,Storm,39,72
2024-02-16,Delhi,Clear,40,45
2024-02-16,Jaipur,Storm,31,68
2024-02-16,Lucknow,Fog,21,84
2024-02-16,Patna,Fog,22,62
2024-02-16,Indore,Rain,27,74
2024-02-17,Bangalore,Fog,34,64
2024-02-17,Hyderabad,Fog,26,74
2024-02-17,Chennai,Rain,20,79
2024-02-17,Mumbai,Fog,28,64
2024-02-17,Pune,Clear,39,44
2024-02-17,Delhi,Fog,35,79
2024-02-17,Jaipur,Fog,32,74
2024-02-17,Lucknow,Rain,39,76
2024-02-17,Patna,Fog,36,71
2024-02-17,Indore,Rain,24,60
2024-02-18,Bangalore,Rain,35,87
2024-02-18,Hyderabad,Clear,40,74
2024-02-18,Chennai,Storm,36,40
2024-02-18,Mumbai,Fog,40,51
2024-02-18,Pune,Rain,31,43
2024-02-18,Delhi,Storm,20,82
2024-02-18,Jaipur,Storm,32,64
2024-02-18,Lucknow,Storm,34,76
2024-02-18,Patna,Clear,20,83
2024-02-18,Indore,Clear,25,57
2024-02-19,Bangalore,Rain,30,94
2024-02-19,Hyderabad,Storm,28,56
2024-02-19,Chennai,Rain,36,65
2024-02-19,Mumbai,Fog,38,65
2024-02-19,Pune,Rain,24,62
2024-02-19,Delhi,Storm,25,80
2024-02-19,Jaipur,Rain,40,48
2024-02-19,Lucknow,Storm,32,93
2024-02-19,Patna,Rain,26,74
2024-02-19,Indore,Clear,30,65
2024-02-20,Bangalore,Rain,28,45
2024-02-20,Hyderabad,Storm,25,74
2024-02-20,Chennai,Storm,35,51
2024-02-20,Mumbai,Storm,32,50
2024-02-20,Pune,Rain,32,77
2024-02-20,Delhi,Rain,27,61
2024-02-20,Jaipur,Storm,23,54
2024-02-20,Lucknow,Clear,37,85
2024-02-20,Patna,Fog,31,63
2024-02-20,Indore,Clear,40,71
2024-02-21,Bangalore,Storm,32,94
2024-02-21,Hyderabad,Storm,20,79
2024-02-21,Chennai,Storm,35,89
2024-02-21,Mumbai,Storm,28,54
2024-02-21,Pune,Clear,26,59
2024-02-21,Delhi,Clear,36,92
2024-02-21,Jaipur,Clear,23,70
2024-02-21,Lucknow,Fog,25,43
2024-02-21,Patna,Rain,36,93
2024-02-21,Indore,Storm,38,55
2024-02-22,Bangalore,Storm,21,45
2024-02-22,Hyderabad,Storm,26,65
2024-02-22,Chennai,Storm,22,60
2024-02-22,Mumbai,Storm,34,46
2024-02-22,Pune,Storm,30,52
2024-02-22,Delhi,Clear,26,86
2024-02-22,Jaipur,Rain,31,79
2024-02-22,Lucknow,Rain,33,70
2024-02-22,Patna,Clear,27,91
2024-02-22,Indore,Fog,34,94
2024-02-23,Bangalore,Storm,21,41
2024-02-23,Hyderabad,Storm,24,84
2024-02-23,Chennai,Clear,29,89
2024-02-23,Mumbai,Clear,21,89
2024-02-23,Pune,Storm,25,69
2024-02-23,Delhi,Fog,39,73
2024-02-23,Jaipur,Clear,38,73
2024-02-23,Lucknow,Fog,37,43
2024-02-23,Patna,Rain,35,40
2024-02-23,Indore,Storm,31,48
2024-02-24,Bangalore,Rain,36,73
2024-02-24,Hyderabad,Storm,32,50
2024-02-24,Chennai,Rain,30,75
2024-02-24,Mumbai,Fog,33,43
2024-02-24,Pune,Storm,38,72
2024-02-24,Delhi,Fog,34,74
2024-02-24,Jaipur,Fog,28,59
2024-02-24,Lucknow,Rain,24,71
2024-02-24,Patna,Storm,36,61
2024-02-24,Indore,Storm,37,80
2024-02-25,Bangalore,Storm,38,67
2024-02-25,Hyderabad,Storm,30,90
2024-02-25,Chennai,Storm,25,72
2024-02-25,Mumbai,Rain,29,79
2024-02-25,Pune,Clear,22,91
2024-02-25,Delhi,Fog,30,41
2024-02-25,Jaipur,Rain,20,42
2024-02-25,Lucknow,Clear,24,91
2024-02-25,Patna,Storm,31,80
2024-02-25,Indore,Rain,38,81
2024-02-26,Bangalore,Rain,22,55
2024-02-26,Hyderabad,Rain,40,92
2024-02-26,Chennai,Clear,30,95
2024-02-26,Mumbai,Storm,22,53
2024-02-26,Pune,Clear,30,61
2024-02-26,Delhi,Fog,21,73
2024-02-26,Jaipur,Rain,40,80
2024-02-26,Lucknow,Fog,37,87
2024-02-26,Patna,Rain,23,58
2024-02-26,Indore,Storm,29,94
2024-02-27,Bangalore,Fog,32,77
2024-02-27,Hyderabad,Fog,24,71
2024-02-27,Chennai,Rain,33,68
2024-02-27,Mumbai,Fog,29,81
2024-02-27,Pune,Fog,24,87
2024-02-27,Delhi,Clear,24,63
2024-02-27,Jaipur,Rain,31,58
2024-02-27,Lucknow,Rain,22,73
2024-02-27,Patna,Rain,25,85
2024-02-27,Indore,Clear,24,52
2024-02-28,Bangalore,Clear,24,52
2024-02-28,Hyderabad,Rain,40,40
2024-02-28,Chennai,Storm,39,45
2024-02-28,Mumbai,Clear,32,87
2024-02-28,Pune,Clear,22,73
2024-02-28,Delhi,Rain,33,56
2024-02-28,Jaipur,Fog,25,53
2024-02-28,Lucknow,Fog,31,41
2024-02-28,Patna,Rain,35,65
2024-02-28,Indore,Clear,34,51
2024-02-29,Bangalore,Rain,31,70
2024-02-29,Hyderabad,Fog,30,56
2024-02-29,Chennai,Storm,37,80
2024-02-29,Mumbai,Storm,35,48
2024-02-29,Pune,Fog,24,95
2024-02-29,Delhi,Clear,30,49
2024-02-29,Jaipur,Clear,36,92
2024-02-29,Lucknow,Fog,32,82
2024-02-29,Patna,Rain,23,65
2024-02-29,Indore,Clear,37,95
2024-03-01,Bangalore,Rain,34,47
2024-03-01,Hyderabad,Fog,25,44
2024-03-01,Chennai,Fog,26,52
2024-03-01,Mumbai,Fog,26,76
2024-03-01,Pune,Rain,20,60
2024-03-01,Delhi,Rain,25,49
2024-03-01,Jaipur,Rain,33,50
2024-03-01,Lucknow,Clear,33,91
2024-03-01,Patna,Storm,38,44
2024-03-01,Indore,Storm,27,75
2024-03-02,Bangalore,Rain,27,50
2024-03-02,Hyderabad,Storm,40,63
2024-03-02,Chennai,Rain,38,94
2024-03-02,Mumbai,Rain,30,75
2024-03-02,Pune,Storm,28,66
2024-03-02,Delhi,Clear,35,86
2024-03-02,Jaipur,Fog,35,54
2024-03-02,Lucknow,Rain,32,58
2024-03-02,Patna,Rain,20,76
2024-03-02,Indore,Storm,28,95
2024-03-03,Bangalore,Storm,38,91
2024-03-03,Hyderabad,Fog,39,85
2024-03-03,Chennai,Clear,25,68
2024-03-03,Mumbai,Fog,20,51
2024-03-03,Pune,Rain,34,44
2024-03-03,Delhi,Rain,21,61
2024-03-03,Jaipur,Rain,39,69
2024-03-03,Lucknow,Fog,23,53
2024-03-03,Patna,Fog,30,48
2024-03-03,Indore,Rain,24,49
2024-03-04,Bangalore,Clear,23,48
2024-03-04,Hyderabad,Storm,32,86
2024-03-04,Chennai,Clear,37,52
2024-03-04,Mumbai,Rain,21,42
2024-03-04,Pune,Storm,37,71
2024-03-04,Delhi,Fog,36,72
2024-03-04,Jaipur,Fog,31,83
2024-03-04,Lucknow,Rain,31,82
2024-03-04,Patna,Storm,25,55
2024-03-04,Indore,Fog,21,91
2024-03-05,Bangalore,Clear,26,41
2024-03-05,Hyderabad,Storm,29,55
2024-03-05,Chennai,Fog,40,45
2024-03-05,Mumbai,Storm,23,69
2024-03-05,Pune,Clear,31,93
2024-03-05,Delhi,Rain,26,95
2024-03-05,Jaipur,Clear,20,89
2024-03-05,Lucknow,Rain,40,76
2024-03-05,Patna,Rain,38,87
2024-03-05,Indore,Storm,20,45
2024-03-06,Bangalore,Storm,26,70
2024-03-06,Hyderabad,Storm,40,95
2024-03-06,Chennai,Rain,21,79
2024-03-06,Mumbai,Rain,20,76
2024-03-06,Pune,Fog,35,45
2024-03-06,Delhi,Rain,38,71
2024-03-06,Jaipur,Clear,39,47
2024-03-06,Lucknow,Rain,32,43
2024-03-06,Patna,Rain,24,47
2024-03-06,Indore,Rain,25,47
2024-03-07,Bangalore,Fog,33,69
2024-03-07,Hyderabad,Rain,21,47
2024-03-07,Chennai,Clear,23,47
2024-03-07,Mumbai,Fog,32,46
2024-03-07,Pune,Rain,25,42
2024-03-07,Delhi,Clear,39,86
2024-03-07,Jaipur,Clear,34,48
2024-03-07,Lucknow,Storm,36,88
2024-03-07,Patna,Fog,27,52
2024-03-07,Indore,Rain,21,58
2024-03-08,Bangalore,Rain,33,64
2024-03-08,Hyderabad,Storm,26,74
2024-03-08,Chennai,Clear,25,69
2024-03-08,Mumbai,Storm,36,46
2024-03-08,Pune,Rain,29,51
2024-03-08,Delhi,Clear,22,58
2024-03-08,Jaipur,Clear,37,83
2024-03-08,Lucknow,Fog,40,73
2024-03-08,Patna,Rain,30,95
2024-03-08,Indore,Clear,38,82
2024-03-09,Bangalore,Storm,24,49
2024-03-09,Hyderabad,Storm,32,48
2024-03-09,Chennai,Clear,38,52
2024-03-09,Mumbai,Storm,31,86
2024-03-09,Pune,Fog,22,91
2024-03-09,Delhi,Clear,26,85
2024-03-09,Jaipur,Storm,24,89
